date_日期,price_价格,title_名称,lowerPrice_最低价格,lowerDate_最低价格日期,itemurl_商品链接
2023-11-03,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-03,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-04,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-04,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-05,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-05,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-06,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-06,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-07,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-07,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-08,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-08,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-09,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-09,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
2023-11-10,14499.0,Apple/苹果AI笔记本/2023MacBookPro14英寸M3(8+10核)16G512G深空灰色笔记本电脑Z1C80004E【定制】,13669.0,2024-06-01,http://item.jd.com/100074524434.html
